,Number of movements ;  Permanent Arrivals ;,Number of movements ;  Long-term Residents returning ;,Number of movements ;  Long-term Visitors arriving ;,Number of movements ;  Permanent and Long-term Arrivals ;,Number of movements ;  Short-term Residents returning ;,Number of movements ;  Short-term Residents returning ;,Number of movements ;  Short-term Residents returning ;,Number of movements ;  Short-term Visitors arriving ;,Number of movements ;  Short-term Visitors arriving ;,Number of movements ;  Short-term Visitors arriving ;,Number of movements ;  Total Arrivals ;
Unit,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number
Series Type,Original,Original,Original,Original,Original,Seasonally Adjusted,Trend,Original,Seasonally Adjusted,Trend,Original
Data Type,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW
Frequency,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month
Collection Month,1,1,1,1,1,1,1,1,1,1,1
Series Start,Jan-1976,Jan-1976,Jan-1976,Jan-1976,Jan-1976,Jan-1976,Jan-1976,Jan-1976,Jan-1976,Jan-1976,Jan-1976
Series End,Feb-2020,Feb-2020,Feb-2020,Feb-2020,Feb-2020,Feb-2020,Jan-2020,Feb-2020,Feb-2020,Jan-2020,Feb-2020
No. Obs,530,530,530,530,530,530,529,530,530,529,530
Series ID,A85232567K,A85232562X,A85232555A,A85232568L,A85232565F,A85377103W,A85378045C,A85375847A,A85375533K,A85376475T,A85232561W
Jan-1976,3780,5380,2750,11910,143400,0,0,47700,0,0,203000
Feb-1976,3900,4190,2730,10820,76400,0,0,49900,0,0,137000
Mar-1976,4790,4250,1940,10980,61900,0,0,46100,0,0,119000
Apr-1976,3790,3490,1620,8900,55900,0,0,37300,0,0,102100
May-1976,4680,4190,1890,10760,80600,0,0,37600,0,0,129000
Jun-1976,3720,3620,1790,9130,61000,0,0,30100,0,0,100200
Jul-1976,4600,4720,1640,10960,70600,0,0,35100,0,0,116700
Aug-1976,4750,5130,1890,11770,88300,0,0,44100,0,0,144200
Sep-1976,4470,4740,1890,11100,113500,0,0,36100,0,0,160600
Oct-1976,6070,5550,1790,13410,97500,0,0,46800,0,0,157700
Nov-1976,6080,5100,1590,12770,65600,0,0,53700,0,0,132100
Dec-1976,7660,9540,1780,18970,53600,0,0,67400,0,0,139900
Jan-1977,6200,5850,3540,15600,155400,0,0,48600,0,0,219600
Feb-1977,6580,4130,3640,14360,70700,0,0,48400,0,0,133500
Mar-1977,6560,4070,2340,12970,57200,0,0,50600,0,0,120800
Apr-1977,6370,3530,2110,12010,56600,0,0,41700,0,0,110300
May-1977,6280,3560,1990,11840,67800,0,0,36200,0,0,115900
Jun-1977,5260,3280,1920,10460,66800,0,0,31700,0,0,109000
Jul-1977,6030,4650,2080,12750,77800,0,0,40800,0,0,131400
Aug-1977,4870,4660,2140,11670,85800,0,0,42800,0,0,140200
Sep-1977,5670,4450,2180,12310,117100,0,0,37500,0,0,166900
Oct-1977,6900,4930,1900,13740,90900,0,0,45900,0,0,150500
Nov-1977,5950,5280,1830,13060,74400,0,0,65100,0,0,152600
Dec-1977,8970,9300,1790,20060,53000,0,0,74000,0,0,147100
Jan-1978,6280,5410,3760,15450,143200,0,0,49900,0,0,208500
Feb-1978,5670,4070,3340,13070,69800,0,0,51900,0,0,134700
Mar-1978,6080,4020,2820,12920,60700,0,0,55000,0,0,128600
Apr-1978,5400,3430,2200,11020,62900,0,0,41900,0,0,115800
May-1978,5970,3610,2030,11610,83000,0,0,41400,0,0,136000
Jun-1978,5390,3500,1970,10860,70500,0,0,34800,0,0,116200
Jul-1978,5840,4480,2290,12610,84800,0,0,44300,0,0,141700
Aug-1978,5420,4780,2310,12510,90500,0,0,49700,0,0,152800
Sep-1978,5560,4570,2110,12250,125900,0,0,45900,0,0,184000
Oct-1978,5510,4960,1970,12450,99400,0,0,52900,0,0,164800
Nov-1978,5020,5270,1700,11990,79600,0,0,71500,0,0,163100
Dec-1978,6270,9840,1890,18000,59300,0,0,91400,0,0,168600
Jan-1979,5050,6880,6540,18460,155000,0,0,54600,0,0,228000
Feb-1979,5340,4430,4600,14380,76400,0,0,60300,0,0,151100
Mar-1979,5860,4300,3290,13450,72200,0,0,65300,0,0,151000
Apr-1979,5300,3860,2470,11630,73200,0,0,55600,0,0,140500
May-1979,5620,3760,2510,11890,97300,0,0,54500,0,0,163600
Jun-1979,6390,3820,2380,12590,88200,0,0,53400,0,0,154200
Jul-1979,5410,4790,2260,12460,89500,0,0,70200,0,0,172100
Aug-1979,6220,4430,1960,12610,98000,0,0,66800,0,0,177400
Sep-1979,5940,4510,2160,12610,130500,0,0,58000,0,0,201100
Oct-1979,6540,5170,1930,13640,105500,0,0,66000,0,0,185200
Nov-1979,6790,5590,1740,14120,93000,0,0,80000,0,0,187100
Dec-1979,7780,9900,1600,19280,65600,0,0,108700,0,0,193500
Jan-1980,6410,5400,3910,15720,150500,0,0,66000,0,0,232200
Feb-1980,6420,4430,4390,15240,88100,0,0,82200,0,0,185600
Mar-1980,7360,4410,3370,15140,90900,0,0,86800,0,0,192900
Apr-1980,7480,3850,2090,13410,82500,0,0,61800,0,0,157700
May-1980,7360,3540,2170,13080,99700,0,0,60700,0,0,173500
Jun-1980,7040,3940,2000,12980,95200,0,0,69700,0,0,177900
Jul-1980,7420,4280,2230,13930,94200,0,0,77300,0,0,185500
Aug-1980,8080,4570,2380,15020,99800,0,0,70000,0,0,184800
Sep-1980,8020,3980,2130,14130,118300,0,0,60900,0,0,193300
Oct-1980,9200,4710,2030,15930,110700,0,0,71900,0,0,198500
Nov-1980,10080,6230,2150,18460,97900,0,0,84800,0,0,201200
Dec-1980,9630,9420,2180,21240,66900,0,0,112600,0,0,200700
Jan-1981,9990,5480,4720,20200,143400,0,0,69600,0,0,233200
Feb-1981,7930,4320,4980,17230,84200,0,0,78700,0,0,180100
Mar-1981,11850,4870,3680,20400,90100,0,0,84300,0,0,194800
