Final SMBSC OTR Results from February 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12
1,,94.41%,93.07%,93.98%,97.36%,96.71%,97.33%,89.92%,91.96%,89.65%,90.51%,93.05%,,88.10%,90.37%,90.11%,89.57%,89.71%,95.05%,93.85%,93.32%,91.96%,89.92%,89.56%,,89.84%,87.97%,94.65%,92.91%,94.79%,97.38%,94.11%,93.11%,96.69%,92.06%,97.24%
2,,95.00%,94.96%,92.81%,98.53%,95.59%,100.00%,96.97%,96.88%,92.68%,93.90%,97.15%,,94.31%,93.42%,94.61%,97.97%,98.05%,97.07%,98.54%,97.56%,99.02%,98.05%,98.54%,,94.15%,99.51%,96.59%,98.05%,99.02%,98.54%,97.67%,98.57%,97.82%,99.27%,97.09%
3,,79.73%,80.00%,94.77%,92.42%,89.33%,92.40%,88.95%,92.08%,89.92%,92.27%,82.20%,,89.27%,81.66%,87.95%,94.16%,95.14%,94.61%,94.91%,95.21%,97.60%,95.81%,95.51%,,95.51%,92.19%,97.90%,94.88%,96.11%,95.58%,96.33%,93.89%,96.81%,94.69%,97.31%
4,,81.82%,84.83%,85.18%,89.37%,86.47%,88.67%,87.96%,88.89%,87.43%,86.23%,88.71%,,77.55%,79.62%,83.44%,89.20%,87.27%,87.10%,89.85%,88.35%,91.37%,88.22%,88.70%,,84.70%,86.99%,91.47%,88.48%,88.13%,92.69%,93.41%,93.20%,90.99%,90.65%,94.46%
5,,77.68%,88.46%,97.16%,91.10%,94.09%,99.14%,94.91%,96.30%,96.30%,97.02%,96.43%,,90.48%,91.67%,91.43%,85.22%,95.45%,97.27%,86.82%,89.09%,96.82%,93.18%,93.18%,,90.00%,89.50%,85.45%,93.64%,92.27%,95.45%,92.02%,92.86%,96.22%,94.12%,95.38%
6,,93.30%,93.70%,94.00%,94.20%,91.90%,95.50%,91.30%,91.50%,94.10%,90.30%,91.30%,,88.50%,91.30%,88.90%,89.90%,88.80%,94.70%,87.30%,89.90%,88.24%,86.16%,88.22%,,87.78%,89.27%,90.10%,90.28%,92.75%,95.70%,90.95%,93.86%,92.50%,91.28%,90.54%
7,,92.90%,94.20%,94.70%,91.90%,87.90%,92.70%,87.50%,91.10%,91.20%,90.80%,88.10%,,87.90%,86.90%,90.00%,90.80%,87.70%,87.60%,88.60%,91.10%,93.78%,89.98%,86.76%,,84.79%,86.53%,91.17%,92.31%,87.43%,93.18%,88.03%,90.73%,88.51%,86.89%,86.26%
8,,94.40%,95.40%,96.90%,94.90%,96.20%,97.50%,95.10%,94.60%,93.80%,97.10%,97.20%,,96.00%,93.60%,93.00%,90.00%,92.00%,95.00%,94.40%,95.80%,95.47%,92.13%,94.87%,,92.52%,93.04%,95.28%,94.09%,94.88%,94.20%,96.11%,95.69%,89.00%,90.72%,93.87%
9,,97.60%,95.90%,97.00%,96.80%,94.50%,97.70%,92.00%,92.90%,96.40%,84.00%,85.40%,,78.90%,91.70%,94.80%,92.20%,90.70%,96.70%,92.30%,92.40%,93.50%,89.05%,90.12%,,88.87%,88.77%,93.56%,89.85%,91.27%,95.17%,91.69%,92.02%,90.89%,91.71%,90.67%
10,,93.56%,94.29%,96.83%,96.56%,94.64%,97.86%,94.25%,96.85%,93.68%,95.98%,93.09%,,90.05%,91.22%,94.56%,91.89%,94.58%,95.78%,93.67%,98.49%,97.89%,96.39%,95.18%,,94.85%,96.39%,97.89%,96.39%,96.69%,97.59%,95.42%,94.20%,96.23%,97.49%,95.40%
11,,93.13%,92.86%,96.43%,100.00%,92.86%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,95.69%,93.75%,98.25%,95.61%,94.74%,98.25%,98.25%,97.81%,96.49%,94.58%,99.17%,,95.00%,95.32%,97.87%,97.92%,95.63%,96.72%,98.87%,97.18%,97.27%,96.17%,94.97%,,92.18%,94.51%,98.36%,94.54%,95.63%,98.36%,97.74%,95.56%,95.00%,96.67%,97.22%
13,,93.60%,92.26%,92.98%,96.31%,93.80%,95.08%,94.26%,96.31%,92.31%,94.50%,93.69%,,87.46%,88.81%,90.68%,90.84%,94.44%,94.77%,96.05%,98.03%,97.37%,98.03%,88.16%,,97.04%,93.75%,97.70%,97.70%,96.05%,96.38%,94.87%,96.79%,97.38%,97.07%,97.97%
14,,81.25%,71.09%,99.22%,84.38%,78.68%,97.06%,85.29%,88.97%,86.03%,80.88%,91.91%,,80.88%,80.15%,88.24%,86.03%,90.59%,97.65%,86.98%,84.12%,87.06%,76.47%,81.76%,,85.29%,81.76%,88.24%,95.88%,90.59%,98.82%,91.57%,87.88%,86.06%,88.48%,90.30%
15,,95.72%,96.39%,97.17%,97.88%,97.46%,98.04%,96.15%,98.29%,97.81%,96.78%,97.15%,,98.02%,97.74%,99.15%,98.31%,97.45%,97.08%,96.03%,98.30%,98.31%,98.59%,98.86%,,98.29%,96.01%,97.15%,96.24%,96.51%,97.30%,98.13%,96.77%,97.33%,96.80%,99.20%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,No data collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STA data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
